doc_id,num_code,agency_id,effect,type,is_outstanding,date_issued,date_effective,date_published,sign_person_id,status_id,num_gazette,created_at,updated_at
72,174/KH-UBND,Tỉnh Bà Rịa - Vũng Tàu,Không xác định,Kế hoạch,0,23/09/2022,23/09/2022,23/09/2022,Lê Ngọc Khánh,Không xác định,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
73,9061/KH-UBND,Tỉnh Khánh Hòa,Không xác định,Kế hoạch,0,23/09/2022,23/09/2022,23/09/2022,Đinh Văn Thiệu,Không xác định,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
74,09/2022/NQ-HĐND,Tỉnh Khánh Hòa,Còn hiệu lực,Nghị quyết,0,23/09/2022,23/09/2022,23/09/2022,Trần Mạnh Dũng,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
75,10/2022/NQ-HĐND,Tỉnh Khánh Hòa,Còn hiệu lực đến: 01/08/2027,Nghị quyết,0,23/09/2022,23/09/2022,23/09/2022,Trần Mạnh Dũng,Còn hiệu lực đến: 01/08/2027,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
76,321/KH-UBND,Tỉnh Lào Cai,Không xác định,Kế hoạch,0,23/09/2022,23/09/2022,23/09/2022,Hoàng Quốc Khánh,Không xác định,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
77,75/NQ-HĐND,Tỉnh Khánh Hòa,Còn hiệu lực,Nghị quyết,0,23/09/2022,23/09/2022,23/09/2022,Trần Mạnh Dũng,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
78,76/NQ-HĐND,Tỉnh Khánh Hòa,Còn hiệu lực,Nghị quyết,0,23/09/2022,23/09/2022,23/09/2022,Trần Mạnh Dũng,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
79,366/QĐ-UBND,Tỉnh Nghệ An,Còn hiệu lực,Quyết định,0,23/09/2022,23/09/2022,23/09/2022,Hoàng Nghĩa Hiếu,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
80,69/2022/ND-CP,Chính phủ,Còn hiệu lực,Nghị định,0,23/09/2022,30/10/2022,23/09/2022,Lê Văn Thành,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
81,43/2022/QĐ-UBND,Tỉnh Ninh Bình,Còn hiệu lực,Quyết định,0,23/09/2022,10/10/2022,23/09/2022,Tống Quang Thìn,Còn hiệu lực,Đang cập nhật,2024-07-22 10:47:04,2024-07-22 10:47:04
